Alice,06.00,08.50,11.40,14.30,17.20,20.10,23.00,-
National Stadium,06.10,09.00,11.50,14.40,17.30,20.20,23.10,-
Siam,06.20,09.10,12.00,14.50,17.40,20.30,23.20,-
Ratchadamri,06.30,09.20,12.10,15.00,17.50,20.40,23.30,-
Sala Daeng,06.40,09.30,12.20,15.10,18.00,20.50,23.40,-
Chong Nonsi,06.50,09.40,12.30,15.20,18.10,21.00,23.50,-
Surasuk,07.00,09.50,12.40,15.30,18.20,21.10,-
Saphan Taksin,07.10,10.00,12.50,15.40,18.30,21.20,-
Krung Thon Buri,07.20,10.10,13.00,15.50,18.40,21.30,-
Wongwian Yai,07.30,10.20,13.10,16.00,18.50,21.40,-
Pho Nimit,07.40,10.30,13.20,16.10,19.00,21.50,-
Talat Phlu,07.50,10.40,13.30,16.20,19.10,22.00,-
Wutthakat,08.00,10.50,13.40,16.30,19.20,22.10,-
June Poon Poon,08.10,11.00,13.50,16.40,19.30,22.20,-
Maimeewanpakloey,08.20,11.10,14.00,16.50,19.40,22.30,-
Maidainone,08.30,11.20,14.10,17.00,19.50,22.40,-
Cluster5,08.40,11.30,14.20,17.10,20.00,22.50,-
